iter	Passed	Remaining
0	149	148980
1	153	76643
2	159	52914
3	162	40567
4	171	34123
5	173	28802
6	176	24987
7	178	22108
8	183	20168
9	185	18354
10	187	16870
11	190	15646
12	192	14593
13	194	13729
14	200	13152
15	202	12423
16	203	11780
17	205	11205
18	211	10935
19	214	10513
20	217	10123
21	219	9754
22	226	9631
23	228	9309
24	231	9011
25	233	8744
26	240	8660
27	241	8393
28	243	8139
29	244	7900
30	245	7673
31	246	7465
32	248	7271
33	249	7086
34	254	7013
35	256	6859
36	258	6721
37	259	6571
38	260	6429
39	262	6292
40	263	6163
41	267	6101
42	268	5983
43	270	5869
44	271	5767
45	274	5683
46	275	5586
47	276	5491
48	278	5398
49	280	5334
50	283	5280
51	285	5199
52	286	5126
53	288	5051
54	298	5120
55	299	5050
56	300	4978
57	302	4909
58	303	4843
59	304	4778
60	306	4715
61	307	4658
62	314	4682
63	316	4633
64	318	4576
65	319	4520
66	320	4466
67	322	4414
68	323	4364
69	329	4376
70	330	4328
71	332	4281
72	335	4258
73	337	4224
74	338	4178
75	343	4179
76	345	4135
77	346	4093
78	347	4051
79	348	4010
80	349	3970
81	351	3933
82	352	3890
83	354	3860
84	357	3852
85	359	3817
86	360	3782
87	361	3748
88	362	3715
89	364	3683
90	365	3655
91	367	3624
92	374	3652
93	376	3626
94	377	3600
95	379	3571
96	380	3543
97	381	3515
98	383	3491
99	389	3504
100	390	3479
101	392	3453
102	393	3427
103	394	3401
104	396	3376
105	397	3351
106	398	3326
107	403	3329
108	404	3304
109	405	3279
110	406	3255
111	407	3230
112	408	3206
113	409	3183
114	410	3159
115	411	3137
116	412	3113
117	413	3091
118	419	3105
119	420	3085
120	422	3066
121	423	3045
122	424	3027
123	426	3012
124	427	2995
125	433	3004
126	434	2984
127	435	2966
128	436	2948
129	437	2929
130	439	2917
131	441	2901
132	442	2884
133	443	2868
134	447	2868
135	448	2851
136	450	2834
137	451	2818
138	452	2802
139	453	2786
140	454	2771
141	455	2753
142	456	2737
143	458	2722
144	461	2721
145	464	2715
